,event_id,station,components,time,duration,amplitude,energy,signal_type
72,20180101T050220Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:02:20.823392Z,56.38,855.914034399,5852462.47282,amplitude
73,20180101T050820Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:08:20.403392Z,29.96,602.292460539,1916220.88743,amplitude
74,20180101T051105Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:11:05.263392Z,4.62,566.416086422,247898.520564,amplitude
75,20180101T051409Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:14:09.163392Z,8.8,671.855111386,717936.132873,amplitude
76,20180101T051811Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:18:11.803392Z,25.54,611.885434675,1052354.48509,amplitude
77,20180101T052016Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:20:16.403392Z,13.76,640.949281125,735228.202804,amplitude
78,20180101T052232Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:22:32.103392Z,11.24,502.270222752,583585.62216,amplitude
79,20180101T052413Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:24:13.463392Z,8.56,587.612021409,300811.696684,amplitude
80,20180101T053147Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:31:47.703392Z,35.08,491.554471564,1089780.8391,amplitude
81,20180101T053612Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:36:12.463392Z,7.1,564.880877618,500494.993114,amplitude
82,20180101T054346Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:43:46.883392Z,15.78,660.000928519,1392247.88155,amplitude
83,20180101T054554Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:45:54.763392Z,11.76,672.394454788,792494.832762,amplitude
84,20180101T054918Z,DK.ILULI.,"['BHZ', 'BHN', 'BHE']",2018-01-01T05:49:18.083392Z,9.76,829.921412865,635589.038561,amplitude
