,event_id,stations,network_time,ref_time,ref_duration,ref_amplitude,ref_energy,signal_type
84,20180101T054918Z,['DK.ILULI.'],0.0,2018-01-01T05:49:18.083392Z,9.76,1372.8349731,8211200.31624,amplitude
85,20180101T055516Z,['DK.ILULI.'],0.0,2018-01-01T05:55:16.763392Z,15.94,1489.24982974,14096016.576,amplitude
86,20180101T055711Z,['DK.ILULI.'],0.0,2018-01-01T05:57:11.903392Z,24.78,1478.45012319,22086377.1843,amplitude
87,20180101T055854Z,['DK.ILULI.'],0.0,2018-01-01T05:58:54.623392Z,200.74,1665.57620169,125504266.226,amplitude
88,20180101T060607Z,['DK.ILULI.'],0.0,2018-01-01T06:06:07.423392Z,14.2,1502.07175143,15343409.2695,amplitude
89,20180101T061425Z,['DK.ILULI.'],0.0,2018-01-01T06:14:25.483392Z,13.28,1569.73844655,14430920.7255,amplitude
90,20180101T061556Z,['DK.ILULI.'],0.0,2018-01-01T06:15:56.283392Z,19.04,1424.94570902,16297695.2241,amplitude
91,20180101T061842Z,['DK.ILULI.'],0.0,2018-01-01T06:18:42.903392Z,6.96,1185.22226144,4515845.51312,amplitude
92,20180101T062634Z,['DK.ILULI.'],0.0,2018-01-01T06:26:34.083392Z,19.88,1736.54822988,18670341.1014,amplitude
93,20180101T062945Z,['DK.ILULI.'],0.0,2018-01-01T06:29:45.983392Z,25.88,1313.96567997,24353507.009,amplitude
94,20180101T063532Z,['DK.ILULI.'],0.0,2018-01-01T06:35:32.403392Z,14.76,1237.35394521,12395124.9871,amplitude
95,20180101T063829Z,['DK.ILULI.'],0.0,2018-01-01T06:38:29.583392Z,10.0,1346.93895911,6959094.81309,amplitude
96,20180101T064116Z,['DK.ILULI.'],0.0,2018-01-01T06:41:16.803392Z,9.5,1279.92370998,7205813.84399,amplitude
97,20180101T064455Z,['DK.ILULI.'],0.0,2018-01-01T06:44:55.363392Z,74.26,1341.64716193,40890763.8032,amplitude
98,20180101T064821Z,['DK.ILULI.'],0.0,2018-01-01T06:48:21.803392Z,39.5,1626.99232286,35976218.6038,amplitude
99,20180101T065149Z,['DK.ILULI.'],0.0,2018-01-01T06:51:49.063392Z,12.72,1242.08351779,10360068.7938,amplitude
100,20180101T065357Z,['DK.ILULI.'],0.0,2018-01-01T06:53:57.043392Z,6.92,1235.24536628,4519547.20242,amplitude
101,20180101T065525Z,['DK.ILULI.'],0.0,2018-01-01T06:55:25.923392Z,18.44,1175.56815546,13101877.229,amplitude
102,20180101T070150Z,['DK.ILULI.'],0.0,2018-01-01T07:01:50.003392Z,77.08,1449.68812032,39767065.2775,amplitude
103,20180101T071156Z,['DK.ILULI.'],0.0,2018-01-01T07:11:56.423392Z,18.38,1517.02683015,20165451.8774,amplitude
104,20180101T071405Z,['DK.ILULI.'],0.0,2018-01-01T07:14:05.083392Z,11.7,1371.6725942,12517744.6494,amplitude
105,20180101T071634Z,['DK.ILULI.'],0.0,2018-01-01T07:16:34.463392Z,9.06,1236.39994425,5986681.71493,amplitude
106,20180101T071818Z,['DK.ILULI.'],0.0,2018-01-01T07:18:18.663392Z,6.82,1184.22304236,4320776.27585,amplitude
107,20180101T072254Z,['DK.ILULI.'],0.0,2018-01-01T07:22:54.343392Z,14.94,1156.54945496,10396994.9992,amplitude
108,20180101T072734Z,['DK.ILULI.'],0.0,2018-01-01T07:27:34.363392Z,61.06,1258.8780174,30254496.1071,amplitude
109,20180101T072938Z,['DK.ILULI.'],0.0,2018-01-01T07:29:38.443392Z,23.4,1249.53856122,19274334.7337,amplitude
110,20180101T073353Z,['DK.ILULI.'],0.0,2018-01-01T07:33:53.143392Z,10.8,1371.7919138,8306632.08747,amplitude
111,20180101T073612Z,['DK.ILULI.'],0.0,2018-01-01T07:36:12.083392Z,81.28,1561.57731861,60396467.9811,amplitude
112,20180101T074038Z,['DK.ILULI.'],0.0,2018-01-01T07:40:38.803392Z,27.84,1454.46828615,24190675.7073,amplitude
113,20180101T074816Z,['DK.ILULI.'],0.0,2018-01-01T07:48:16.603392Z,6.6,1217.85011217,4689072.73039,amplitude
114,20180101T075039Z,['DK.ILULI.'],0.0,2018-01-01T07:50:39.083392Z,4.14,1402.32280183,1771595.03942,amplitude
115,20180101T075151Z,['DK.ILULI.'],0.0,2018-01-01T07:51:51.543392Z,30.56,1606.11563809,24813753.0559,amplitude
116,20180101T075422Z,['DK.ILULI.'],0.0,2018-01-01T07:54:22.243392Z,19.8,1586.21614813,20677281.6687,amplitude
117,20180101T075631Z,['DK.ILULI.'],0.0,2018-01-01T07:56:31.383392Z,58.9,1473.95515023,45303747.9745,amplitude
118,20180101T075834Z,['DK.ILULI.'],0.0,2018-01-01T07:58:34.103392Z,9.76,1534.3371808,9505727.64466,amplitude
119,20180101T080729Z,['DK.ILULI.'],0.0,2018-01-01T08:07:29.863392Z,7.8,1108.28263119,5001192.64552,amplitude
120,20180101T081113Z,['DK.ILULI.'],0.0,2018-01-01T08:11:13.223392Z,16.34,1781.86375294,22729401.1794,amplitude
121,20180101T081502Z,['DK.ILULI.'],0.0,2018-01-01T08:15:02.623392Z,13.96,1408.2890694,10934371.3203,amplitude
122,20180101T081821Z,['DK.ILULI.'],0.0,2018-01-01T08:18:21.363392Z,7.94,1128.13960221,3430850.96186,amplitude
